Title,City,State,Group,Ideology,Headquarters,Statewide,Year,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Keep South Dakota Safe PAC",Aberdeen,"South Dakota",,Anti-Muslim,,,2018,45.476172,-98.410405,1,place,,,Aberdeen,SD,"Brown County",57401,US,"TIGER/Line® dataset from the US Census Bureau"
"Last Chance Patriots",Dayton,Montana,,Anti-Muslim,,,2018,47.854921,-114.281873,1,place,,,Dayton,MT,"Lake County",59914,US,"TIGER/Line® dataset from the US Census Bureau"
"North Carolina Pastors Network",Morganton,"North Carolina",,Anti-Muslim,,,2018,36.029833,-79.49161,0.8,place,,,Morgantown,NC,"Alamance County",27215,US,"TIGER/Line® dataset from the US Census Bureau"
"Political Islam",Nashville,Tennessee,,Anti-Muslim,Yes,,2018,36.165688,-86.778098,1,place,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
"Proclaiming Justice to the Nations",Franklin,Tennessee,,Anti-Muslim,,,2018,35.890746,-86.965691,1,place,,,Franklin,TN,"Williamson County",37064,US,"TIGER/Line® dataset from the US Census Bureau"
"Radio Jihad/Global Patriot Radio",,"New York",,Anti-Muslim,Yes,Yes,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Refugee Resettlement Watch",Fairplay,Maryland,,Anti-Muslim,Yes,,2018,39.559419,-77.76039,1,place,,,Fairplay,MD,"Washington County",21733,US,"TIGER/Line® dataset from the US Census Bureau"
"Sharia Crime Stoppers","Mount Clemens",Michigan,,Anti-Muslim,,,2018,42.597984,-82.877669,1,place,,,"Mount Clemens",MI,"Macomb County",48043,US,"TIGER/Line® dataset from the US Census Bureau"
"Shoebat Foundation, The",Newtown,Pennsylvania,,Anti-Muslim,Yes,,2018,40.8858,-78.32731,0.8,place,,,"New Town",PA,"Centre County",16666,US,"TIGER/Line® dataset from the US Census Bureau"
"Soldiers of Odin",,California,,Anti-Muslim,,Yes,2018,37.155177,-119.543418,1,state,,,,CA,,,US,"US Census Bureau"
"Soldiers of Odin",,Florida,,Anti-Muslim,,Yes,2018,28.45743,-82.409148,1,state,,,,FL,,,US,"US Census Bureau"
"Soldiers of Odin",,Indiana,,Anti-Muslim,,Yes,2018,39.903026,-86.28395,1,state,,,,IN,,,US,"US Census Bureau"
"Soldiers of Odin",,Missouri,,Anti-Muslim,Yes,Yes,2018,38.35075,-92.456783,1,state,,,,MO,,,US,"US Census Bureau"
"Soldiers of Odin",,"North Carolina",,Anti-Muslim,,Yes,2018,35.53971,-79.130864,1,state,,,,NC,,,US,"US Census Bureau"
"Soldiers of Odin",,"North Dakota",,Anti-Muslim,,Yes,2018,47.44217,-100.460816,1,state,,,,ND,,,US,"US Census Bureau"
"Soldiers of Odin",,"South Carolina",,Anti-Muslim,,Yes,2018,33.874177,-80.85427,1,state,,,,SC,,,US,"US Census Bureau"
"Soldiers of Odin",,Texas,,Anti-Muslim,,Yes,2018,31.434703,-99.281824,1,state,,,,TX,,,US,"US Census Bureau"
