,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1169,,,Seabrook,0,0,0,1,0,0,0,0,0,1,8941
1170,,Universities and Colleges,,0,1,1,0,0,0,,,,,
1171,,,University of New Hampshire,0,1,1,0,0,0,0,1,1,0,16599
1172,,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
1173,,,Grafton,1,0,0,0,0,0,0,0,0,1,
1174,New Jersey,Total,,308,198,53,4,1,7,,,,,
1175,,Cities,,277,183,46,4,1,7,,,,,
1176,,,Aberdeen Township,2,0,1,0,0,2,1,2,0,2,18378
1177,,,Barnegat Township,0,0,0,1,0,0,0,0,1,0,22777
1178,,,Berkeley Heights Township,1,0,0,0,0,0,0,0,0,1,13646
1179,,,Berlin,1,0,0,0,0,0,0,0,0,1,7495
1180,,,Beverly,1,0,0,0,0,0,0,0,0,1,2497
1181,,,Bloomingdale,1,0,0,0,0,0,0,1,0,0,8211
1182,,,Boonton,3,2,0,0,0,0,0,2,2,1,8236
1183,,,Bordentown Township,1,0,0,0,0,0,0,1,0,0,12323
1184,,,Brick Township,0,1,0,0,0,0,0,0,1,0,74712
1185,,,Bridgeton,4,1,4,0,0,0,5,0,1,3,24386
1186,,,Bridgewater Township,1,0,1,0,0,0,2,0,0,0,45050
1187,,,Brooklawn,1,0,0,0,0,0,0,0,0,1,1904
1188,,,Burlington City,1,0,0,0,0,0,1,0,0,0,9817
1189,,,Camden County Police Department,0,1,0,0,0,0,1,0,0,0,73140
1190,,,Carteret,0,1,0,0,0,0,0,1,0,0,23921
1191,,,Cedar Grove Township,0,1,0,0,0,0,0,1,0,0,12566
1192,,,Chatham,1,0,0,0,0,0,1,0,0,0,8793
1193,,,Cherry Hill Township,2,2,2,0,0,0,4,0,2,0,70578
1194,,,Cinnaminson Township,1,0,0,0,0,0,0,1,0,0,16630
1195,,,Clifton,2,2,0,0,0,0,2,1,1,0,85732
1196,,,Closter,1,1,0,1,0,0,0,0,1,2,8691
1197,,,Colts Neck Township,0,1,0,0,0,0,0,0,0,1,9944
1198,,,Cranbury Township,1,0,0,0,0,0,0,0,1,0,3900
1199,,,Deal,1,0,0,0,0,0,1,0,0,0,730
1200,,,Delanco Township,2,0,0,0,0,0,2,0,0,0,4509
1201,,,Denville Township,1,0,0,0,0,0,0,1,0,0,16737
1202,,,Dover,2,0,0,0,0,0,0,0,1,1,17982
1203,,,Dumont,1,1,0,0,0,0,0,0,0,2,17825
1204,,,East Brunswick Township3,7,5,3,0,0,0,3,4,3,4,48342
1205,,,East Hanover Township,1,0,0,0,0,0,0,0,1,0,11084
1206,,,East Orange,0,1,0,0,0,0,0,0,0,1,64625
1207,,,East Rutherford,0,1,0,0,0,0,0,0,1,0,9941
1208,,,Edison Township,0,4,0,0,0,0,2,0,0,2,101309
1209,,,Egg Harbor Township,2,0,0,0,0,0,1,1,0,0,43276
1210,,,Elizabeth,1,0,0,0,0,0,0,0,1,0,129080
1211,,,Emerson,1,0,0,0,0,0,0,1,0,0,7679
1212,,,Englewood,6,1,0,0,0,0,1,3,1,2,28988
1213,,,Evesham Township3,12,10,1,0,0,0,7,8,5,2,45354
1214,,,Fair Lawn,0,2,0,0,0,0,1,0,1,0,33413
1215,,,Fort Lee,3,2,0,0,0,0,1,2,1,1,37729
1216,,,Franklin Lakes,0,5,0,0,0,0,2,1,1,1,11191
1217,,,"Franklin Township, Somerset County",1,0,0,0,0,0,0,0,1,0,66624
1218,,,Freehold Borough,0,1,0,0,0,0,0,0,0,1,11873
1219,,,Freehold Township,1,2,1,0,0,0,0,2,2,0,34896
1220,,,Galloway Township,2,0,0,0,0,0,0,0,1,1,36467
1221,,,Glen Ridge,1,0,0,0,0,0,0,0,1,0,7622
1222,,,Gloucester City,1,0,0,0,0,0,0,0,0,1,11167
1223,,,Hackensack,3,1,0,0,0,0,1,2,0,1,44926
1224,,,Haddonfield,1,1,0,0,0,0,1,1,0,0,11253
1225,,,"Hamilton Township, Atlantic County",1,0,0,0,0,0,0,0,0,1,87889
1226,,,"Hamilton Township, Mercer County3",2,1,0,0,0,0,0,1,0,1,26380
1227,,,Hanover Township,1,2,0,0,0,0,1,2,0,0,14583
1228,,,Hardyston Township,1,0,0,0,0,0,0,1,0,0,7823
1229,,,Harrison Township,1,0,0,0,0,0,1,0,0,0,12915
1230,,,Haworth,0,2,0,0,0,0,0,0,0,2,3463
1231,,,Highland Park,0,1,0,0,0,0,1,0,0,0,13989
1232,,,Highlands,1,0,0,0,0,0,1,0,0,0,4794
1233,,,Hightstown,2,0,0,0,0,0,0,0,1,1,5289
1234,,,Hillsborough Township,0,0,1,0,0,0,1,0,0,0,39796
1235,,,Hillsdale,2,7,0,0,0,0,1,0,1,7,10484
1236,,,Hoboken,3,1,3,0,0,0,2,4,1,0,55096
1237,,,Holmdel Township,1,1,0,0,0,0,0,0,0,2,16621
1238,,,Hopewell Township,4,0,0,0,0,0,0,0,0,4,18000
1239,,,Howell Township,11,2,1,0,0,0,2,8,1,3,52672
1240,,,Jackson Township,0,1,0,0,0,0,1,0,0,0,56706
1241,,,Jefferson Township,0,0,1,0,0,0,1,0,0,0,21071
1242,,,Jersey City,3,1,0,0,0,0,0,1,3,0,270175
1243,,,Keansburg,7,1,3,0,0,0,3,2,3,3,9766
1244,,,Lakewood Township,2,16,0,0,0,0,3,3,11,1,102915
1245,,,Lambertville,0,0,1,0,0,0,0,1,0,0,3811
1246,,,Leonia,0,1,0,0,0,0,0,0,0,1,9175
1247,,,Lincoln Park,1,0,0,0,0,0,0,0,1,0,10308
1248,,,Linden,2,0,0,0,0,0,0,0,0,2,42806
1249,,,Little Egg Harbor Township,1,0,0,0,0,0,0,0,0,1,21087
1250,,,Little Falls Township,2,0,0,0,0,0,1,1,0,0,14306
1251,,,Livingston Township,1,1,0,0,0,0,1,1,0,0,29820
1252,,,Lodi,0,0,2,0,0,0,0,1,1,0,24720
1253,,,Long Branch,1,0,0,0,0,0,0,1,0,0,30750
1254,,,Lower Township,1,0,0,0,0,0,0,0,1,0,21617
1255,,,Madison,12,1,0,0,0,0,1,0,1,11,15832
1256,,,Mahwah Township,1,0,0,0,0,0,0,0,0,1,26501
1257,,,Manalapan Township,4,5,1,0,0,0,3,3,2,2,40150
1258,,,"Mansfield Township, Burlington County",3,0,0,0,0,0,0,1,0,2,8577
1259,,,Maple Shade Township,3,0,0,0,0,0,3,0,0,0,18772
1260,,,Maplewood Township,1,0,0,0,0,0,0,1,0,0,24635
1261,,,Marlboro Township,3,3,0,0,0,0,0,0,4,2,40338
1262,,,Medford Township,4,3,0,0,0,0,2,1,1,3,23558
1263,,,Mendham,0,1,0,0,0,0,1,0,0,0,4905
