,state,city,race,religion,sexual orientation,disability,gender,gender identity,population,percent per pop
106,California,Galt,1.0,0.0,0.0,0.0,0.0,0.0,26548.0,0.003766762091306313
107,California,Gardena,0.0,1.0,1.0,0.0,0.0,0.0,60423.0,0.0033099978485013983
108,California,Garden Grove,1.0,0.0,0.0,0.0,0.0,0.0,174661.0,0.0005725376586644986
109,California,Glendale,4.0,0.0,0.0,0.0,0.0,0.0,204724.0,0.001953850061546277
110,California,Glendora,1.0,0.0,0.0,0.0,0.0,0.0,52727.0,0.0018965615339389687
111,California,Gridley,1.0,0.0,0.0,0.0,0.0,0.0,6612.0,0.015124016938898973
112,California,Hawaiian Gardens,2.0,0.0,0.0,0.0,0.0,0.0,14474.0,0.01381788033715628
113,California,Hawthorne,3.0,2.0,1.0,0.0,0.0,0.0,88372.0,0.006789480831032454
114,California,Hayward,3.0,1.0,0.0,0.0,0.0,0.0,162881.0,0.002455780600561146
115,California,Hemet,1.0,0.0,0.0,0.0,0.0,0.0,86047.0,0.001162155566144084
116,California,Hesperia,1.0,0.0,0.0,0.0,0.0,0.0,95519.0,0.0010469121326647055
117,California,Huntington Beach,2.0,2.0,0.0,0.0,0.0,0.0,203428.0,0.001966297658139489
118,California,Huntington Park,3.0,0.0,1.0,0.0,0.0,0.0,58922.0,0.006788635823631241
119,California,Imperial Beach,1.0,0.0,0.0,0.0,0.0,0.0,27569.0,0.0036272625049874863
120,California,Inglewood,1.0,0.0,0.0,0.0,0.0,0.0,110726.0,0.0009031302494445748
121,California,Irvine,1.0,1.0,0.0,0.0,0.0,0.0,288052.0,0.0006943190812769916
122,California,Jurupa Valley,1.0,0.0,0.0,0.0,0.0,0.0,107605.0,0.0009293248454997445
123,California,Laguna Woods,0.0,0.0,1.0,0.0,0.0,0.0,16219.0,0.006165608237252604
124,California,Lakeport,0.0,0.0,1.0,0.0,0.0,0.0,4763.0,0.02099517111064455
125,California,La Mesa,1.0,0.0,0.0,0.0,0.0,0.0,60442.0,0.001654478673769895
126,California,Lancaster,9.0,0.0,2.0,0.0,0.0,0.0,160818.0,0.006840030344861893
127,California,Lawndale,1.0,0.0,0.0,0.0,0.0,0.0,33121.0,0.0030192325110956794
128,California,Livermore,3.0,2.0,1.0,0.0,0.0,0.0,91612.0,0.006549360345806226
129,California,Lodi,1.0,1.0,0.0,0.0,0.0,0.0,66416.0,0.0030113225728740063
130,California,Long Beach,6.0,0.0,3.0,0.0,0.0,0.0,470445.0,0.001913082294423365
131,California,Los Angeles,136.0,63.0,74.0,0.0,0.0,10.0,4029741.0,0.00702278384640601
132,California,Los Banos,0.0,0.0,1.0,0.0,0.0,0.0,39651.0,0.002522004489167991
133,California,Lynwood,1.0,0.0,0.0,0.0,0.0,0.0,71315.0,0.0014022295449765125
134,California,Malibu,1.0,0.0,0.0,0.0,0.0,0.0,12911.0,0.007745333436604446
135,California,Marysville,1.0,0.0,0.0,0.0,0.0,0.0,12459.0,0.008026326350429408
136,California,Menifee,2.0,0.0,0.0,0.0,0.0,0.0,92540.0,0.002161227577263886
137,California,Modesto,2.0,1.0,2.0,0.0,2.0,0.0,215822.0,0.0032434135537618963
138,California,Monterey,2.0,0.0,0.0,0.0,0.0,0.0,28744.0,0.006957973838018369
139,California,Moreno Valley,1.0,0.0,0.0,0.0,0.0,0.0,209145.0,0.0004781371775562409
140,California,Morro Bay,0.0,0.0,1.0,0.0,0.0,0.0,10692.0,0.009352787130564907
141,California,Mountain View,1.0,0.0,0.0,0.0,0.0,0.0,82518.0,0.001211856806999685
142,California,Newark,1.0,0.0,0.0,0.0,0.0,0.0,48276.0,0.002071422653078134
143,California,Newport Beach,1.0,0.0,2.0,0.0,0.0,1.0,86276.0,0.00463628355510223
144,California,Norwalk,3.0,0.0,0.0,0.0,0.0,0.0,106158.0,0.0028259763748375065
145,California,Oakland,3.0,5.0,5.0,1.0,0.0,1.0,430230.0,0.0034865072170699395
146,California,Oceanside,2.0,0.0,0.0,0.0,0.0,0.0,177464.0,0.0011269891358247307
147,California,Orange,2.0,0.0,0.0,0.0,0.0,0.0,141108.0,0.0014173540833971143
148,California,Oroville,1.0,0.0,0.0,0.0,0.0,0.0,19186.0,0.005212133847597206
149,California,Oxnard,0.0,1.0,1.0,0.0,0.0,0.0,211737.0,0.0009445680254277712
150,California,Pacifica,0.0,1.0,2.0,0.0,0.0,0.0,39339.0,0.007626019980172348
151,California,Palmdale,1.0,0.0,0.0,0.0,0.0,0.0,158177.0,0.0006322031648090431
152,California,Palm Springs,1.0,0.0,3.0,0.0,0.0,0.0,48644.0,0.008223007976317738
153,California,Palo Alto,2.0,2.0,1.0,0.0,0.0,0.0,67560.0,0.007400828892835997
154,California,Paramount,1.0,0.0,1.0,0.0,0.0,0.0,55023.0,0.003634843610853643
155,California,Parlier,1.0,0.0,0.0,0.0,0.0,0.0,15356.0,0.006512112529304507
156,California,Pasadena,1.0,2.0,0.0,0.0,0.0,0.0,143448.0,0.0020913501756734147
157,California,Perris,1.0,0.0,0.0,0.0,0.0,0.0,79238.0,0.0012620207476210909
158,California,Petaluma,1.0,0.0,0.0,0.0,0.0,0.0,61289.0,0.0016316141558844163
159,California,Pinole,1.0,0.0,0.0,0.0,0.0,0.0,19509.0,0.005125839356194577
160,California,Pittsburg,1.0,0.0,0.0,0.0,0.0,0.0,73462.0,0.0013612479921592117
161,California,Placentia,3.0,1.0,1.0,0.0,0.0,0.0,52324.0,0.009555844354407156
162,California,Pleasanton,1.0,0.0,0.0,0.0,0.0,0.0,84992.0,0.001176581325301205
163,California,Poway,0.0,1.0,0.0,0.0,0.0,0.0,50346.0,0.00198625511460692
164,California,Rancho Cucamonga,2.0,0.0,0.0,0.0,0.0,0.0,179114.0,0.0011166073003785297
165,California,Rancho Santa Margarita,1.0,0.0,0.0,0.0,0.0,0.0,48918.0,0.0020442372950652114
166,California,Red Bluff,2.0,0.0,0.0,0.0,0.0,0.0,14315.0,0.013971358714634998
167,California,Redding,9.0,0.0,0.0,0.0,0.0,0.0,92068.0,0.009775383412260504
168,California,Redlands,1.0,0.0,0.0,0.0,0.0,0.0,71954.0,0.0013897768018456237
169,California,Redwood City,1.0,1.0,0.0,0.0,0.0,0.0,88161.0,0.0022685768083392883
170,California,Rialto,1.0,0.0,0.0,0.0,0.0,0.0,104173.0,0.0009599416355485586
171,California,Richmond,11.0,1.0,0.0,0.0,0.0,0.0,110982.0,0.010812564199599936
172,California,Rio Vista,0.0,1.0,0.0,0.0,0.0,0.0,9268.0,0.01078981441519206
173,California,Ripon,1.0,0.0,0.0,0.0,0.0,0.0,15878.0,0.006298022420959819
174,California,Riverside,9.0,1.0,0.0,0.0,0.0,0.0,331022.0,0.003020947248219152
175,California,Roseville,5.0,0.0,0.0,0.0,0.0,0.0,137706.0,0.0036309238522649707
176,California,Sacramento,4.0,1.0,6.0,0.0,0.0,0.0,507037.0,0.0021694669225322807
177,California,Salinas,0.0,0.0,1.0,0.0,0.0,0.0,158590.0,0.0006305567816381865
178,California,San Bernardino,4.0,0.0,0.0,0.0,0.0,0.0,217986.0,0.001834980228088042
179,California,San Bruno,0.0,0.0,1.0,0.0,0.0,0.0,43621.0,0.0022924738084867382
180,California,San Clemente,1.0,0.0,1.0,0.0,0.0,0.0,65509.0,0.003053015616174877
181,California,San Diego,20.0,8.0,12.0,0.0,0.0,0.0,1436495.0,0.002784555463123784
182,California,San Dimas,0.0,1.0,0.0,0.0,0.0,0.0,34463.0,0.002901662652699997
183,California,San Francisco,41.0,8.0,17.0,0.0,0.0,2.0,889282.0,0.007646618283064314
184,California,San Gabriel,2.0,0.0,0.0,0.0,0.0,0.0,40637.0,0.004921623151315304
185,California,San Jacinto,2.0,0.0,0.0,0.0,0.0,0.0,48830.0,0.0040958427196395655
186,California,San Jose,22.0,6.0,9.0,0.0,0.0,0.0,1047305.0,0.0035328772420641554
187,California,San Leandro,1.0,1.0,0.0,0.0,0.0,0.0,91359.0,0.002189165818364912
188,California,San Luis Obispo,4.0,0.0,0.0,1.0,1.0,0.0,47885.0,0.012530019839198077
